0	3	NU	NLBL	B_CLS	B_SENT	N	-
1	_	PU	NCMN	I_CLS	I_SENT	N	-
2	ฝ่าย	CL	NCMN	I_CLS	I_SENT	N	-
3	รุม	VV	NCMN	I_CLS	I_SENT	N	-
4	ตรวจสอบ	VV	VACT	I_CLS	I_SENT	N	-
5	ขบวนการ	NN	NCMN	I_CLS	I_SENT	N	-
6	ทุจริต	VV	NCMN	I_CLS	I_SENT	N	-
7	ชุมชน	NN	NCMN	I_CLS	I_SENT	N	-
8	พอเพียง	VV	VSTA	E_CLS	I_SENT	N	-

9	ติดตาม	VV	VACT	B_CLS	B_SENT	N	-
10	ตรวจสอบ	VV	VACT	I_CLS	I_SENT	N	-
11	ทุจริต	VV	NCMN	I_CLS	I_SENT	N	-
12	โครงการ	NN	NCMN	I_CLS	I_SENT	N	-
13	เศรษฐกิจ	NN	NCMN	I_CLS	I_SENT	N	-
14	พอเพียง	VV	VSTA	E_CLS	I_SENT	N	-
15	เพื่อ	CC	JSBR	B_CLS	I_SENT	N	-
16	ยกระดับ	VV	VACT	I_CLS	I_SENT	N	-
17	ชุมชน	NN	NCMN	I_CLS	I_SENT	N	-
18	_	PU	NCMN	I_CLS	I_SENT	N	-
19	พรรค	NN	NCMN	E_CLS	I_SENT	N	-
20	เพื่อ	CC	RPRE	B_CLS	I_SENT	N	-
21	ไทย	NN	NPRP	I_CLS	I_SENT	N	-
22	_	PU	NCMN	I_CLS	I_SENT	N	-
23	ใน	PS	RPRE	I_CLS	I_SENT	N	-
24	ฐานะ	NN	NCMN	I_CLS	I_SENT	N	-
25	ฝ่าย	NN	NCMN	I_CLS	I_SENT	N	-
26	ค้าน	VV	NCMN	I_CLS	I_SENT	N	-
27	_	PU	NCMN	I_CLS	I_SENT	N	-
28	ได้	AX	XVAE	I_CLS	I_SENT	N	-
29	แถลง	VV	NCMN	I_CLS	I_SENT	N	-
30	เปิดเผย	VV	VACT	I_CLS	I_SENT	N	-
31	หลักฐาน	NN	NCMN	I_CLS	I_SENT	N	-
32	ข้อมูล	NN	NCMN	I_CLS	I_SENT	N	-
33	เกี่ยวกับ	VV	RPRE	I_CLS	I_SENT	N	-
34	การ	FX	FIXN	I_CLS	I_SENT	N	-
35	บริหาร	VV	VACT	I_CLS	I_SENT	N	-
36	งบประมาณ	NN	NCMN	I_CLS	I_SENT	N	-
37	โครงการ	NN	NCMN	E_CLS	I_SENT	N	-
38	_	PU	NCMN	O	I_SENT	N	-
39	ที่	CC	PREL	B_CLS	I_SENT	N	-
40	ส่อ	VV	NCMN	I_CLS	I_SENT	N	-
41	ทุจริต	VV	NCMN	E_CLS	I_SENT	N	-
42	และ	CC	JCRG	B_CLS	I_SENT	Expansion.Conjunction	-
43	โยงใย	VV	NCMN	I_CLS	I_SENT	N	-
44	ไป	AV	XVAE	I_CLS	I_SENT	N	-
45	ถึง	VV	RPRE	I_CLS	I_SENT	N	-
46	บุคคล	NN	NCMN	I_CLS	I_SENT	N	-
47	ต่าง	AJ	VSTA	I_CLS	I_SENT	N	-
48	ๆ	PU	NCMN	I_CLS	I_SENT	N	-
49	ทั้ง	CC	DDBQ	I_CLS	I_SENT	N	-
50	นักการเมือง	NN	NCMN	I_CLS	I_SENT	N	-
51	_	PU	NCMN	I_CLS	I_SENT	N	-
52	และ	CC	JCRG	I_CLS	I_SENT	N	-
53	บริษัท	NN	NCMN	I_CLS	I_SENT	N	-
54	เอกชน	NN	NCMN	I_CLS	I_SENT	N	-
55	_	PU	NPRP	I_CLS	I_SENT	N	-
56	ที่	CC	PREL	I_CLS	I_SENT	N	-
57	รวบรวม	VV	VACT	I_CLS	I_SENT	N	-
58	มา	AV	XVAE	I_CLS	I_SENT	N	-
59	ได้	AX	XVAE	I_CLS	I_SENT	N	-
60	_	PU	NCMN	I_CLS	I_SENT	N	-
61	พร้อมทั้ง	CC	JCRG	I_CLS	I_SENT	N	-
62	ข้อมูล	NN	NCMN	I_CLS	I_SENT	N	-
63	จาก	PS	RPRE	I_CLS	I_SENT	N	-
64	ชาวบ้าน	NN	NCMN	I_CLS	I_SENT	N	-
65	ใน	PS	RPRE	I_CLS	I_SENT	N	-
66	ชุมชน	NN	NCMN	I_CLS	I_SENT	N	-
67	ที่	CC	PREL	I_CLS	I_SENT	N	-
68	ยอม	VV	VACT	I_CLS	I_SENT	N	-
69	เปิดเผย	VV	VACT	E_CLS	I_SENT	N	-
70	_	PU	NCMN	O	I_SENT	N	-
71	โดย	CC	RPRE	B_CLS	I_SENT	Expansion.GenExpansion	-
72	ฉาย	VV	VACT	I_CLS	I_SENT	N	-
73	ภาพ	NN	NCMN	I_CLS	I_SENT	N	-
74	หลักฐาน	NN	NCMN	I_CLS	I_SENT	N	-
75	ทั้งหมด	AJ	DDAN	I_CLS	I_SENT	N	-
76	ผ่าน	VV	VSTA	I_CLS	I_SENT	N	-
77	จอ	NN	NCMN	I_CLS	I_SENT	N	-
78	โปรเจคเตอร์	NN	NCMN	E_CLS	I_SENT	N	-

79	น.อ.	NN	NCMN	B_CLS	B_SENT	N	-
80	อนุดิษฐ์	NN	NCMN	I_CLS	I_SENT	N	-
81	_	PU	NCMN	I_CLS	I_SENT	N	-
82	นาครทรรพ	NN	NCMN	I_CLS	I_SENT	N	-
83	_	PU	NCMN	I_CLS	I_SENT	N	-
84	ส.ส.	NN	NCMN	I_CLS	I_SENT	N	-
85	_	PU	NCMN	I_CLS	I_SENT	N	-
86	กทม.	NN	NCMN	I_CLS	I_SENT	N	-
87	_	PU	NCMN	I_CLS	I_SENT	N	-
88	พรรค	NN	NCMN	I_CLS	I_SENT	N	-
89	เพื่อ	CC	RPRE	I_CLS	I_SENT	N	-
90	ไทย	NN	NPRP	I_CLS	I_SENT	N	-
91	_	PU	NCMN	I_CLS	I_SENT	N	-
92	ระบุ	VV	VACT	I_CLS	I_SENT	N	-
93	ว่า	CC	JSBR	E_CLS	I_SENT	N	-
94	_	PU	NCMN	O	I_SENT	N	-
95	โครงการ	NN	NCMN	B_CLS	I_SENT	N	-
96	นี้	AJ	DDAC	I_CLS	I_SENT	N	-
97	มี	VV	VSTA	I_CLS	I_SENT	N	-
98	งบประมาณ	NN	NCMN	I_CLS	I_SENT	N	-
99	ตลอด	PS	RPRE	I_CLS	I_SENT	N	-
100	โครงการ	NN	NCMN	I_CLS	I_SENT	N	-
101	_	PU	NCMN	I_CLS	I_SENT	N	-
102	21,000	NU	DCNM	I_CLS	I_SENT	N	-
103	_	PU	PUNC	I_CLS	I_SENT	N	-
104	ล้าน	NU	CNIT	I_CLS	I_SENT	N	-
105	บาท	CL	NCMN	I_CLS	I_SENT	N	-
106	_	PU	NCMN	I_CLS	I_SENT	N	-
107	วัน	NN	NCMN	I_CLS	I_SENT	N	-
108	นี้	AJ	DDAC	I_CLS	I_SENT	N	-
109	มีการ	FX	VACT	I_CLS	I_SENT	N	-
110	อนุมัติ	VV	VACT	I_CLS	I_SENT	N	-
111	ไป	AV	XVAE	I_CLS	I_SENT	N	-
112	แล้ว	AX	XVAE	I_CLS	I_SENT	N	-
113	_	PU	VACT	I_CLS	I_SENT	N	-
114	8,432	NU	NCMN	I_CLS	I_SENT	N	-
115	_	PU	PUNC	I_CLS	I_SENT	N	-
116	ล้าน	NU	NCMN	I_CLS	I_SENT	N	-
117	บาท	CL	NCMN	E_CLS	I_SENT	N	-
118	_	PU	NCMN	O	I_SENT	N	-
119	และ	CC	JCRG	B_CLS	I_SENT	Expansion.Conjunction	-
120	มี	VV	VSTA	I_CLS	I_SENT	N	-
121	เงื่อนงำ	NN	NCMN	E_CLS	I_SENT	N	-
122	ที่	CC	PREL	B_CLS	I_SENT	N	-
123	ส่อ	VV	VACT	E_CLS	I_SENT	N	-
124	ให้	CC	JSBR	B_CLS	I_SENT	N	-
125	เห็น	VV	VSTA	E_CLS	I_SENT	N	-
126	ว่า	CC	JSBR	B_CLS	I_SENT	N	-
127	มีการ	FX	NCMN	I_CLS	I_SENT	N	-
128	ทุจริต	VV	DDBQ	I_CLS	I_SENT	N	-
129	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
130	ขบวนการ	NN	NCMN	I_CLS	I_SENT	N	-
131	ทั้ง	AJ	DDBQ	I_CLS	I_SENT	N	-
132	ระบบ	NN	NCMN	I_CLS	I_SENT	N	-
133	_	PU	DCNM	I_CLS	I_SENT	N	-
134	6	NU	DCNM	I_CLS	I_SENT	N	-
135	_	PU	CMTR	I_CLS	I_SENT	N	-
136	ประการ	CL	CNIT	E_CLS	I_SENT	N	-

137	และ	CC	JCRG	B_CLS	B_SENT	Expansion.Conjunction	-
138	ขณะนี้	NN	ADVS	I_CLS	I_SENT	N	-
139	_	PU	NCMN	I_CLS	I_SENT	N	-
140	กำลัง	AX	XVBM	I_CLS	I_SENT	N	-
141	มี	VV	VSTA	I_CLS	I_SENT	N	-
142	ความ	FX	FIXN	I_CLS	I_SENT	N	-
143	พยายาม	VV	VACT	I_CLS	I_SENT	N	-
144	ตัดตอน	VV	NCMN	I_CLS	I_SENT	N	-
145	เรื่อง	NN	NCMN	I_CLS	I_SENT	N	-
146	นี้	AJ	DDAC	I_CLS	I_SENT	N	-
147	ฝ่าย	VV	NCMN	I_CLS	I_SENT	N	-
148	ค้าน	VV	NCMN	I_CLS	I_SENT	N	-
149	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
150	เตือน	VV	VSTA	I_CLS	I_SENT	N	-
151	ไป	AV	XVAE	I_CLS	I_SENT	N	-
152	ยัง	PS	RPRE	I_CLS	I_SENT	N	-
153	เจ้าหน้าที่	NN	NCMN	I_CLS	I_SENT	N	-
154	เขต	NN	NCMN	I_CLS	I_SENT	N	-
155	_	PU	NCMN	I_CLS	I_SENT	N	-
156	เจ้าหน้าที่	NN	NCMN	I_CLS	I_SENT	N	-
157	อำเภอ	NN	NCMN	E_CLS	I_SENT	N	-
158	_	PU	NCMN	O	I_SENT	N	-
159	ที่	CC	PREL	B_CLS	I_SENT	N	-
160	ลง	VV	VACT	I_CLS	I_SENT	N	-
161	นาม	NN	NCMN	I_CLS	I_SENT	N	-
162	ใน	PS	RPRE	I_CLS	I_SENT	N	-
163	เอกสาร	NN	NCMN	E_CLS	I_SENT	N	-
164	ที่	CC	PREL	B_CLS	I_SENT	N	-
165	ตรวจสอบ	VV	VACT	I_CLS	I_SENT	N	-
166	แล้ว	AX	XVAE	I_CLS	I_SENT	N	-
167	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
168	เท็จ	VV	NCMN	I_CLS	I_SENT	N	-
169	ด้วยว่า	AV	JSBR	E_CLS	I_SENT	N	-
170	_	PU	NCMN	O	I_SENT	N	-
171	ท่าน	PR	PPRS	B_CLS	I_SENT	N	-
172	กำลัง	AX	XVBM	I_CLS	I_SENT	N	-
173	จะ	AX	XVBM	I_CLS	I_SENT	N	-
174	ตก	VV	VACT	I_CLS	I_SENT	N	-
175	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
176	แพะรับบาป	NN	NCMN	E_CLS	I_SENT	N	-

177	ดังนั้น	CC	JSBR	B_CLS	B_SENT	Contingency.Cause.Result	179
178	_	PU	NCMN	I_CLS	I_SENT	N	-
179	จึง	CC	XVBM	I_CLS	I_SENT	Contingency.Cause.Result	-
180	ขอ	VV	VACT	I_CLS	I_SENT	N	-
181	แนะนำ	VV	VACT	E_CLS	I_SENT	N	-
182	ให้	CC	JSBR	B_CLS	I_SENT	N	-
183	ออก	AV	VACT	I_CLS	I_SENT	N	-
184	มา	AV	XVAE	I_CLS	I_SENT	N	-
185	แจ้ง	VV	VACT	I_CLS	I_SENT	N	-
186	ความ	FX	FIXN	I_CLS	I_SENT	N	-
187	ดำเนินคดี	VV	VSTA	I_CLS	I_SENT	N	-
188	กับ	PS	RPRE	I_CLS	I_SENT	N	-
189	ผู้	FX	PPRS	E_CLS	I_SENT	N	-
190	ที่	CC	PREL	B_CLS	I_SENT	N	-
191	เกี่ยวข้อง	VV	VSTA	I_CLS	I_SENT	N	-
192	โดย	FX	RPRE	I_CLS	I_SENT	N	-
193	ด่วน	VV	NCMN	E_CLS	I_SENT	N	-
194	_	PU	NCMN	O	I_SENT	N	-
195	และ	CC	JCRG	B_CLS	I_SENT	Expansion.Conjunction	-
196	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
197	มี	VV	VSTA	I_CLS	I_SENT	N	-
